timestamp,temperature_C,pressure_hPa,humidity_pct,light_lux,oxidised_kO,reduced_kO,nh3_kO,pm1_ug_m3,pm25_ug_m3,pm10_ug_m3
2026-02-28 01:59:30,8.32,710.22,80.44,0.00,14.26,12.42,1.47,1.00,7.00,7.00
2026-02-28 02:05:25,13.82,710.22,80.44,170.74,56.76,16.08,2.21,1.00,1.00,1.00
2026-02-28 02:08:26,15.35,710.22,80.44,1.00,14.08,7.79,6.95,6.00,11.00,11.00
2026-02-28 02:18:19,17.21,979.14,40.16,1.00,15.49,627.50,507.20,6.00,10.00,15.00
2026-02-28 02:28:10,16.22,979.21,41.53,1.00,24.95,626.08,603.71,5.00,10.00,14.00
2026-02-28 02:38:00,17.17,979.27,40.30,1.00,33.49,627.50,670.84,8.00,12.00,15.00
2026-02-28 02:47:50,17.54,979.29,39.91,1.00,41.37,623.72,699.25,7.00,12.00,17.00
2026-02-28 02:57:40,17.26,979.39,40.49,1.00,47.61,617.68,711.00,7.00,11.00,15.00
2026-02-28 03:07:30,17.03,979.37,40.88,1.00,53.09,613.57,731.85,7.00,11.00,15.00
2026-02-28 03:17:21,17.68,979.31,39.26,1.00,58.31,614.93,763.29,6.00,10.00,14.00
2026-02-28 03:27:11,17.70,979.40,39.68,1.00,61.98,611.75,756.53,6.00,11.00,14.00
2026-02-28 03:37:01,16.68,979.36,41.15,1.00,65.38,598.45,753.86,6.00,11.00,14.00
2026-02-28 03:46:51,16.18,979.32,41.68,1.00,68.40,596.72,760.57,6.00,10.00,13.00
2026-02-28 03:56:42,16.55,979.40,40.67,1.00,71.26,593.70,779.25,6.00,10.00,12.00
2026-02-28 04:06:32,16.82,979.37,40.26,1.00,72.74,589.45,768.77,7.00,10.00,13.00
2026-02-28 04:16:22,17.03,979.43,39.35,1.00,74.77,588.60,774.33,6.00,8.00,12.00
2026-02-28 04:26:12,17.04,979.50,39.44,1.00,77.44,586.92,779.96,6.00,8.00,11.00
2026-02-28 04:36:03,16.45,979.47,40.41,1.00,78.19,580.28,767.39,6.00,9.00,12.00
