approach,series,r,p_value,n_obs,sig,type,lag,ccf
lsd2015_mean,wti_spot_ret,0.0816972409873989,NA,NA,,lead_lag,0,0.0816972409873989
lsd2015_mean,wti_spot_ret,-0.17479687807867691,NA,NA,,lead_lag,1,-0.17479687807867691
lsd2015_mean,wti_spot_ret,0.008831378983731727,NA,NA,,lead_lag,2,0.008831378983731727
lsd2015_mean,wti_spot_ret,-0.03174376770778625,NA,NA,,lead_lag,3,-0.03174376770778625
lsd2015_mean,wti_spot_ret,0.1525899667284121,NA,NA,,lead_lag,4,0.1525899667284121
lsd2015_mean,heating_oil_ret,-0.041848770390103894,NA,NA,,lead_lag,-4,-0.041848770390103894
lsd2015_mean,heating_oil_ret,0.07191099595911167,NA,NA,,lead_lag,-3,0.07191099595911167
lsd2015_mean,heating_oil_ret,-0.04359886566095879,NA,NA,,lead_lag,-2,-0.04359886566095879
lsd2015_mean,heating_oil_ret,-0.134198657514504,NA,NA,,lead_lag,-1,-0.134198657514504
lsd2015_mean,heating_oil_ret,0.019342293237738797,NA,NA,,lead_lag,0,0.019342293237738797
lsd2015_mean,heating_oil_ret,-0.3382168551823014,NA,NA,,lead_lag,1,-0.3382168551823014
lsd2015_mean,heating_oil_ret,0.05091364712212884,NA,NA,,lead_lag,2,0.05091364712212884
lsd2015_mean,heating_oil_ret,-0.0658876140442078,NA,NA,,lead_lag,3,-0.0658876140442078
lsd2015_mean,heating_oil_ret,0.16462081021443442,NA,NA,,lead_lag,4,0.16462081021443442
lsd2015_mean,jet_fuel_ret,-0.07759452998389768,NA,NA,,lead_lag,-4,-0.07759452998389768
lsd2015_mean,jet_fuel_ret,0.042434002093018806,NA,NA,,lead_lag,-3,0.042434002093018806
lsd2015_mean,jet_fuel_ret,-0.044020807766272076,NA,NA,,lead_lag,-2,-0.044020807766272076
lsd2015_mean,jet_fuel_ret,-0.133623369023861,NA,NA,,lead_lag,-1,-0.133623369023861
lsd2015_mean,jet_fuel_ret,0.030155016327334125,NA,NA,,lead_lag,0,0.030155016327334125
lsd2015_mean,jet_fuel_ret,-0.30239976958129056,NA,NA,,lead_lag,1,-0.30239976958129056
lsd2015_mean,jet_fuel_ret,0.057504473811134764,NA,NA,,lead_lag,2,0.057504473811134764
lsd2015_mean,jet_fuel_ret,-0.055613600944742145,NA,NA,,lead_lag,3,-0.055613600944742145
lsd2015_mean,jet_fuel_ret,0.22087628373127136,NA,NA,,lead_lag,4,0.22087628373127136
lsd2015_mean,us_gasoline_ret,-0.003618902644525531,NA,NA,,lead_lag,-4,-0.003618902644525531
lsd2015_mean,us_gasoline_ret,-0.07624895745661452,NA,NA,,lead_lag,-3,-0.07624895745661452
lsd2015_mean,us_gasoline_ret,-0.18156857411641392,NA,NA,,lead_lag,-2,-0.18156857411641392
lsd2015_mean,us_gasoline_ret,-0.006416528764499307,NA,NA,,lead_lag,-1,-0.006416528764499307
lsd2015_mean,us_gasoline_ret,-0.26388091238832456,NA,NA,,lead_lag,0,-0.26388091238832456
lsd2015_mean,us_gasoline_ret,-1.298539587098104e-4,NA,NA,,lead_lag,1,-1.298539587098104e-4
lsd2015_mean,us_gasoline_ret,-0.10629773219577433,NA,NA,,lead_lag,2,-0.10629773219577433
lsd2015_mean,us_gasoline_ret,0.2321041892259202,NA,NA,,lead_lag,3,0.2321041892259202
lsd2015_mean,us_gasoline_ret,0.11295297025200182,NA,NA,,lead_lag,4,0.11295297025200182
sentimentr_mean,wti_spot_ret,0.052276253245712216,NA,NA,,lead_lag,-4,0.052276253245712216
sentimentr_mean,wti_spot_ret,0.05963238403750011,NA,NA,,lead_lag,-3,0.05963238403750011
sentimentr_mean,wti_spot_ret,-0.05104415263184265,NA,NA,,lead_lag,-2,-0.05104415263184265
sentimentr_mean,wti_spot_ret,-0.07490622677810164,NA,NA,,lead_lag,-1,-0.07490622677810164
sentimentr_mean,wti_spot_ret,0.11876725948725131,NA,NA,,lead_lag,0,0.11876725948725131
sentimentr_mean,wti_spot_ret,-0.057275006583866306,NA,NA,,lead_lag,1,-0.057275006583866306
sentimentr_mean,wti_spot_ret,0.05316102260114273,NA,NA,,lead_lag,2,0.05316102260114273
sentimentr_mean,wti_spot_ret,0.06758992081686614,NA,NA,,lead_lag,3,0.06758992081686614
sentimentr_mean,wti_spot_ret,0.13619592476661926,NA,NA,,lead_lag,4,0.13619592476661926
sentimentr_mean,heating_oil_ret,0.0020020156643170603,NA,NA,,lead_lag,-4,0.0020020156643170603
sentimentr_mean,heating_oil_ret,0.05914187858782193,NA,NA,,lead_lag,-3,0.05914187858782193
sentimentr_mean,heating_oil_ret,0.05401661398820882,NA,NA,,lead_lag,-2,0.05401661398820882
sentimentr_mean,heating_oil_ret,-0.05225776581456103,NA,NA,,lead_lag,-1,-0.05225776581456103
sentimentr_mean,heating_oil_ret,0.1505637070425208,NA,NA,,lead_lag,0,0.1505637070425208
sentimentr_mean,heating_oil_ret,-0.11287219356283565,NA,NA,,lead_lag,1,-0.11287219356283565
sentimentr_mean,heating_oil_ret,0.0710677915641951,NA,NA,,lead_lag,2,0.0710677915641951
sentimentr_mean,heating_oil_ret,0.07916013948215979,NA,NA,,lead_lag,3,0.07916013948215979
sentimentr_mean,heating_oil_ret,0.1522600545769773,NA,NA,,lead_lag,4,0.1522600545769773
sentimentr_mean,jet_fuel_ret,-0.05287847985519209,NA,NA,,lead_lag,-4,-0.05287847985519209
sentimentr_mean,jet_fuel_ret,0.020459406346885867,NA,NA,,lead_lag,-3,0.020459406346885867
sentimentr_mean,jet_fuel_ret,0.05746713127658615,NA,NA,,lead_lag,-2,0.05746713127658615
sentimentr_mean,jet_fuel_ret,-0.06964827821175944,NA,NA,,lead_lag,-1,-0.06964827821175944
sentimentr_mean,jet_fuel_ret,0.19224006331884697,NA,NA,,lead_lag,0,0.19224006331884697
sentimentr_mean,jet_fuel_ret,-0.05651479086753498,NA,NA,,lead_lag,1,-0.05651479086753498
sentimentr_mean,jet_fuel_ret,0.06497921822957789,NA,NA,,lead_lag,2,0.06497921822957789
sentimentr_mean,jet_fuel_ret,0.09878969680402407,NA,NA,,lead_lag,3,0.09878969680402407
sentimentr_mean,jet_fuel_ret,0.2095734009240898,NA,NA,,lead_lag,4,0.2095734009240898
sentimentr_mean,us_gasoline_ret,-0.04029537037183327,NA,NA,,lead_lag,-4,-0.04029537037183327
sentimentr_mean,us_gasoline_ret,-0.09214907116741794,NA,NA,,lead_lag,-3,-0.09214907116741794
sentimentr_mean,us_gasoline_ret,-0.09868728931674652,NA,NA,,lead_lag,-2,-0.09868728931674652
sentimentr_mean,us_gasoline_ret,0.08792431603439957,NA,NA,,lead_lag,-1,0.08792431603439957
sentimentr_mean,us_gasoline_ret,-0.15617697926763532,NA,NA,,lead_lag,0,-0.15617697926763532
sentimentr_mean,us_gasoline_ret,0.02952557781375147,NA,NA,,lead_lag,1,0.02952557781375147
sentimentr_mean,us_gasoline_ret,-0.023719466874879597,NA,NA,,lead_lag,2,-0.023719466874879597
sentimentr_mean,us_gasoline_ret,0.1479521759238576,NA,NA,,lead_lag,3,0.1479521759238576
sentimentr_mean,us_gasoline_ret,0.11703094706472854,NA,NA,,lead_lag,4,0.11703094706472854
